Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Plain Jane REMIX (feat. Nicki Minaj)","A$AP Ferg","Plain Jane REMIX (feat. Nicki Minaj)","Life","Playlist","USRC11703649","2YzmfPLqUx5CJOaw5ThsBV"
"SUGAR","BROCKHAMPTON","GINGER","Life","Playlist","USRC11901564","6U0FIYXCQ3TGrk4tFpLrEA"
"505","Arctic Monkeys","Favourite Worst Nightmare (Standard Version)","Life","Playlist","GBCEL0700074","58ge6dfP91o9oXMzq3XkIS"
"NEVER MET!","CMTEN","NEVER MET!","Life","Playlist","QZDA62062258","7nJWotqUUPhVaCAOov6qGp"
"Heather","Conan Gray","Kid Krow","Life","Playlist","USUM71924264","4xqrdfXkTW4T0RauPLv3WA"
"stupid horse","100 gecs","1000 gecs","Life","Playlist","USAT22000418","23Dapn8107GgxvXDIsPwWm"
"money machine","100 gecs","1000 gecs","Life","Playlist","USAT22000415","61bwFjzXGG1x2aZsANdLyl"
"Love Like You (feat. Rebecca Sugar) - End Credits","Steven Universe","Steven Universe, Vol. 1 (Original Soundtrack)","Life","Playlist","TCADA1768019","3z9OnsnvM6SFN2dzrSDdVO"
"Play Poker","SEBii","Play Poker","Life","Playlist","QZK6N2005734","4SkJf23bgxQYHnEDp8oj06"
"Sweater Weather","The Neighbourhood","I Love You.","Life","Playlist","USSM11300080","2QjOHCTQ1Jl3zawyYOpxh6"
"FIGHT! - Flyday Chinatown","Aests","The Classics","Life","Playlist","QZHN41915807","5uSG2qFsXcAG1QV5D5jmML"
"恋愛サーキュレーション","物語シリーズ","Utamonogatari Special Edition (Original Soundtrack)","Life","Playlist","JPE300902581","5P8lyudWE7HQxb4ludLbEm"
"Love me, Love me, Love me","Kikuo","Kikuo Miku 3","Life","Playlist","JPE561302154","4qCnVyVr33n54kePfse8ED"
"Michelle","Sir Chloe","Michelle","Life","Playlist","QZDA41967250","3sa1wUB8FAkoH95MGPGBWI"
"unravel","TK from Ling tosite sigure","Fantastic Magic","Life","Playlist","JPU901400608","0GLyqTysS0DFoeKjURtB8s"
"Mr Loverman","Ricky Montgomery","Montgomery Ricky","Life","Playlist","USA2P1624702","594dAKfWYKj53Usd6DTbUs"
"Arms Tonite","Mother Mother","O My Heart","Life","Playlist","CAL450882110","1rRwwqteLePmi70PGaC8ah"
"white tee","Lil Peep","EVERYBODY'S EVERYTHING","Life","Playlist","USQX91903111","07stbgVp3PNKRk12IQ0ZCh"
"hand crushed by a mallet","100 gecs","1000 gecs","Life","Playlist","USAT22000422","7CUkeiG7QtB7tPU9f8SANS"
"Maria Maria (feat. The Product G&B)","Santana","Supernatural (Remastered)","Life","Playlist","USAR19900035","3XKIUb7HzIF1Vu9usunMzc"
"Devil Town","Cavetown","Cavetown","Life","Playlist","TCADM1818860","0vf2eBw2inhl8y61cYQMv2"
"Lonesome Town","Ricky Nelson","Ricky Sings Again (Expanded Edition / Remastered)","Life","Playlist","USEM30100506","0SsYlkXxZ5vkWOTsKxMfMz"
"i feel like chet","mxmtoon","i feel like chet","Life","Playlist","QZES61841873","00qHRkAlOCsjbs8N4hBUH5"
"Pretty Girl","Clairo","Pretty Girl","Life","Playlist","TCADF1795049","0KyAGiNGUytG5JLxJu4F6l"
"Flaming Hot Cheetos","Clairo","Flaming Hot Cheetos","Life","Playlist","TCADD1718258","1F6IbA7di42uPc3cff8PXV"
"prom dress","mxmtoon","the masquerade","Life","Playlist","QM6MZ1961770","2xCGBWfzTe8l2kvHpgvB6M"
"Fuyu No Hanashi (Given)","Shayne Orok","Fuyu No Hanashi (Given)","Life","Playlist","QZHN51927566","0R3Uty1bEhYOOi0nlilEAb"
"Hayloft","Mother Mother","O My Heart","Life","Playlist","CAL450882108","2kS6td1yvmpNgZTt1q5pQq"
"Bubble Gum","Clairo","Bubble Gum","Life","Playlist","QMEZE1907824","3zksbXteOCeSusJ5Xltr3t"
"Heart and My Car","Summer Salt","Happy Camper","Life","Playlist","USEP41837001","63pP9NzaT2RPBMC3cG5EK9"
"A Match Into Water","Pierce The Veil","Collide With The Sky","Life","Playlist","US5261216603","54MXF9I8s3DuiQo3g0gZ5k"
"Bubblegum Bitch","MARINA","Electra Heart (Deluxe)","Life","Playlist","GBFFS1200008","0ZFBKLOZLIM16RAUb5eomN"
"Me and My Husband","Mitski","Be the Cowboy","Life","Playlist","USJ5G1815007","5ErtQGRKEibK2WHaA729O8"
"Hikaru Nara (Shigatsu Wa Kimi No Uso) [feat. Animelmack]","Berioska","Hikaru Nara (Shigatsu Wa Kimi No Uso) [feat. Animelmack]","Life","Playlist","QZDA51930094","4TRV1GJuTP8bUs3lhe50r2"
"House of Memories","Panic! At The Disco","Death of a Bachelor","Life","Playlist","USAT21503701","2DgdHcjWmO3qd50RzuBLgZ"
